name,gender
shivani,f
isha,f
smt shyani devi,f
divya,f
mansi,f
mazida,f
pooja,f
kajal,f
meena,f
sonam,f
buity,f
hina,f
shakshi sagar,f
pooja,f
anita,f
neetu,f
anshu d/o,f
kanika kathuria,f
manju,f
shakshi,f
anita,f
reena,f
neha,f
khushboo,f
aasmin,f
jyoti,f
riya masi,f
rekha,f
leela with a child,f
isha,f
gulshan,f
priya jain,f
pooja,f
rakhi @payal,f
versha,f
sunita,f
nitu kumari,f
vandana,f
roshni,f
parveen,f
versa,f
kavita,f
pooja,f
sarojani,f
nagina,f
tapas das,f
priyanka,f
santna,f
khushbu,f
pooja,f
any bobby,f
deeya kumari,f
anjali juneja,f
anjali @ babli,f
champa karketta,f
anshu,f
monika,f
rimmi singh,f
aanamika misra,f
chahat,f
manju,f
nagma khatoon,f
pooja,f
sonam,f
koshal,f
laxmi devi w/o late sh hukan chand,f
sandhya,f
poonam,f
sna,f
nikita senger,f
layba noor,f
iqra,f
salima,f
naziya siddiqui,f
priti,f
kamni,f
sandhya,f
renu @ rinki,f
priya,f
pooja,f
minakchi,f
ruby,f
smt.farhana baigum,f
sheetal,f
kalyani patro,f
anjali,f
priyanka,f
palak @ simran,f
babita,f
gurdeep kaur,f
dhanwanti  devi,f
fooljhnah,f
vandana,f
smt. gyatri devi,f
shehnaz,f
kajal,f
pooja,f
ranju,f
vidhi,f
pooja kashyap,f
jyoti,f
meena kumari,f
"savita, sagar, panap",f
reena devi,f
neha,f
payal goyala,f
rakhi,f
priynka,f
janki,f
laxmi  kumari,f
rinku malav,f
sohni,f
basnti,f
meera,f
pinki,f
shivani,f
kiran devi,f
sonia,f
doly,f
raj kumari,f
manisha,f
laxmi devi,f
swati joshi,f
aashiya,f
reena,f
vimla,f
suman,f
sunita,f
sunita,f
karina @ kavita,f
pooja jayshwal,f
pooja prajapati @ pratibha,f
seema,f
kranti,f
neha,f
dimpal @doli,f
aarti devi,f
sashi mittal,f
pooja,f
preeti,f
priyanka,f
shajiya,f
priya sexena,f
preeti,f
shanti devi,f
sitara,f
aakanksha,f
charu,f
pinki,f
nilam devi,f
chango uraon,f
shiv kumari,f
kaushaliya,f
babita,f
mangla urf mangi bai,f
grace p.a.,f
usha,f
smt rubi,f
nisha @ chinu,f
subhadra,f
lalita,f
asma khatun,f
anjali,f
kalawati,f
seema,f
santosh singal,f
priyanka,f
tina,f
chanchal,f
mercy,f
poonam,f
smt. manju,f
varsha,f
huma khan,f
gulbasha,f
seema khatun,f
seema,f
roshni,f
rahila maqbool,f
kajal choudhary,f
preeti,f
geeta devi,f
swati thakur,f
pooja,f
shenaz,f
rinki,f
chandni,f
priyanka,f
ruksana,f
vivek kumar,f
kiran,f
nisha,f
heena d/o zamil akhtar,f
jyoti,f
rajni,f
nidhi kumari,f
seema @ simran,f
usha devi,f
kajal,f
mala devi @ nisha,f
khushbu,f
meena,f
hamida khatun,f
chanchal,f
aarti,f
kanchan,f
pooja,f
jyoti,f
priyaki rav,f
ranu tiwari,f
anita devi,f
leelawati,f
sunita,f
manju devi,f
kamla,f
arti,f
pooja,f
,f
mamta,f
anju,f
priyanka,f
aarti,f
noor bano,f
saroj,f
chandni,f
rosy massey,f
poonam,f
rinukanwr,f
poonam,f
shalu,f
sneha,f
neetu,f
komal,f
sapna,f
sashi,f
devki,f
priya @ nandani,f
pooja & his daughter partigya,f
aarti,f
pooja,f
sahin,f
sunita,f
shalu,f
anita,f
asha kumari,f
komal,f
kusum,f
archna,f
himanshi @ roshani,f
jyoti,f
jyoti,f
aarti,f
anuradha,f
durga,f
km sunita,f
sony jha,f
sheetal,f
preety,f
rubina,f
sangeeta,f
madhuri sharma,f
shabanm,f
sunita,f
meena,f
meenu chawla,f
nisha,f
roshni,f
amar deep kaur,f
jyoti,f
shakshi,f
neelam,f
aarti,f
smt sunita,f
rajia,f
devi,f
sita,f
rubi,f
jyoti,f
priyansi,f
nandu,f
nazmin,f
neha,f
varsha,f
tripti,f
ramvati,f
vandana,f
afsana,f
farida begam,f
khushbu,f
neha,f
arti,f
simran,f
ranita,f
yogita tiwari,f
asha,f
kiran devi,f
pooja,f
soniya,f
hemlata,f
priyanka,f
kajal,f
sushma,f
kavita,f
ranjana,f
benjir heena mohd.,f
manju,f
soniya,f
seema,f
komal,f
salma,f
rukshana,f
palak,f
astha,f
fahija,f
reeta,f
noojo khatoon,f
chaya,f
vandana,f
pooja,f
mamta,f
kiran,f
sakila,f
rehana,f
mamta,f
jyoti,f
radha devi,f
kumari komal,f
neha siddiki,f
geeta,f
mira,f
smt. anju,f
neha,f
manisha,f
priti,f
swati,f
seema,f
roshini praveen,f
neha,f
anjali,f
afsana,f
shilpa,f
sudha kumari,f
afrin,f
sabnam,f
batloon w/o garib ulla,f
monika,f
anjum devi,f
smt dhapa devi,f
priti,f
yogita,f
mohini,f
samsad,f
sama,f
kusum,f
maya,f
jassi,f
raj kumari,f
arti,f
priyanka,f
priya,f
maya,f
yashoda,f
susila gudiya,f
kajal,f
kumari shivani,f
ramaiya,f
kamli,f
munbura bibi,f
laxmi,f
bulbul  devi,f
radha,f
rajni,f
rupa,f
kumkum,f
ruksana bano with her son or daughter,f
priyanka bagcdani d/o gulab bagcdani r/o 11/95 c.h,f
nisha,f
kiran,f
sweety,f
gulafsa khatun,f
pooja,f
pooja,f
pooja,f
priyanka,f
captain,f
aarti,f
kumari priyanka agarwal,f
rekha @ boby,f
aarti,f
akansha,f
kritika@kittu,f
sefali @ sweta,f
khshbu,f
heena,f
sangeeta,f
sunaki w/o kallu,f
paramjeet kaur,f
sangeet,f
shalu,f
neelima,f
deepti,f
rajkumari,f
pooja kanwar,f
heena,f
meena,f
rizwana khatun,f
madhuri,f
gulnanj,f
pinki,f
rajni,f
archana,f
rajni devi,f
radha,f
rinki,f
dipti,f
kiran,f
araddhna,f
bharti,f
ku dolly,f
meena devi,f
payal,f
divya kawar,f
laxmi kumari,f
babli,f
muskan urf suman,f
neha,f
rekha,f
badrunisha,f
neelam,f
poonam,f
kanchan,f
pinki,f
varsa,f
shukla vishwas,f
ekta chauhan,f
pooja kumari,f
asha,f
